Date,Outcome,Pair,PositionType
"2025-06-25 15:11:10","+0.10","GBPAUD","short"
"2025-06-24 15:34:51","+0.67","CHFEUR","long"
"2025-06-24 10:35:14","+1.75","CHFJPY","short"
"2025-06-24 00:06:40","+0.42","CADJPY","long"
"2025-06-23 18:46:40","+0.49","CHFUSD","long"
"2025-06-22 23:04:57","-0.52","EURUSD","long"
"2025-06-20 18:08:29","-0.94","CHFJPY","short"
"2025-06-20 15:40:04","-0.74","EURJPY","short"
"2025-06-20 13:15:37","-0.24","CHFGBP","long"
"2025-06-19 23:06:42","+0.55","CHFEUR","long"
"2025-06-19 19:49:59","+0.67","CHFAUD","long"
"2025-06-19 19:42:01","+0.69","USDJPY","long"
"2025-06-19 16:44:00","+0.70","GBPAUD","long"
"2025-06-19 10:59:35","+0.32","CHFCAD","long"
